Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2022,Norfolk Community Services Board,Community Services Board,Administrative Services,Contractual Services,Mileage,53.24,120
2022,Norfolk Community Services Board,Community Services Board,Intellectual Disabilities Service Admin,Contractual Services,Traveling Expense,54.23,0
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Contractual Services,Legal & Professional Services,57,3000
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Contractual Services,Employee Training Expense,60,170
2022,Water,Water Utility Fund,Utility Director Office,Personnel Services,Temporary/Casual Employment,64.56,5409
2022,Public Works,General Fund,Directors Office Public Works,Contractual Services,Employee Training Expense,69,2900
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,Personnel Services,Semi-Monthly/Monthly Overtime,69.62,3000
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,"Materials, Supplies, and Repairs",Food,71.83,2048
2022,Norfolk Community Services Board,Community Services Board,Community Integration,Contractual Services,Rent Of Equipment,72,0
2022,Water,Water Utility Fund,Division Of Account.& Budget,Contractual Services,Other Contractual Services,72.62,100
2022,Norfolk Community Services Board,Community Services Board,Quality Management,"Materials, Supplies, and Repairs",Food,74.46,300
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Contractual Services,Membership Dues & Subscription,75,0
2022,Norfolk Community Services Board,Community Services Board,MH Case Management,Contractual Services,Traveling Expense,76.26,50
2022,Neighborhood Development,General Fund,Director's Office,Contractual Services,Parking Validations,76.5,1000
2022,Transportation,General Fund,Directors Office,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,76.9,300
2022,General Services,General Fund,Facility and Enterprise Management,Contractual Services,Mileage,79.48,4000
2022,General Services,General Fund,Office of Real Estate Management,Personnel Services,Group Life Insurance Perm,80.55,0
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,81.45,451
2022,Finance Department,General Fund,Purchasing Agent,"Materials, Supplies, and Repairs",Supplies-Office,84.6,2500
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Public Assistance,Client Exp-Transportation,86.57,465
2022,Police,General Fund,Community Affairs,"Materials, Supplies, and Repairs",Supplies-Printing & Reproductn,89.99,552
2022,Neighborhood Development,General Fund,Neighborhood Quality,Personnel Services,Semi-Monthly/Monthly Overtime,94.13,0
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Contractual Services,Membership Dues & Subscription,100,0
2022,Police,General Fund,Second Patrol,"Materials, Supplies, and Repairs",Repairs-Office Equipment,100,100
2022,Office of Marketing and Communications,General Fund,Office of Marketing and Communications,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,101.25,700
2022,General Services,General Fund,Director's Office General Services,Contractual Services,Parking Validations,102,1450
2022,Norfolk Community Services Board,Community Services Board,Bayview Group Home,"Materials, Supplies, and Repairs",Gas-Natural & Propane,104.29,1500
2022,Transportation,General Fund,Transportation,Contractual Services,Traveling Expense,105.89,1250
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Contractual Services,Traveling Expense,108.55,4626
2022,Planning and Community Development,General Fund,Planning,Contractual Services,Mileage,108.81,280
2022,Public Health,General Fund,Vector Control,Contractual Services,Refuse & Garbage Disposal,109.16,779
2022,Police,General Fund,Training,Contractual Services,Membership Dues & Subscription,113,775
2022,Planning and Community Development,General Fund,Division of Codes Administration,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,115.02,200
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Personnel Services,Special Pay & Allowances,115.4,0
2022,Human Resources,General Fund,Director Of Human Resources,"Materials, Supplies, and Repairs",Food,116.06,2650
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",EZ Pass,118.22,0
2022,General Services,General Fund,Facility and Enterprise Management,Contractual Services,Employee Training Expense,120,9900
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Contractual Services,Membership Dues & Subscription,120,0
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,Contractual Services,Membership Dues & Subscription,120,0
2022,City Attorney,General Fund,City Attorney,Personnel Services,Semi-Monthly/Monthly Overtime,120.79,0
2022,General Services,General Fund,Director's Office General Services,"Materials, Supplies, and Repairs",Supplies-Office,124.38,800
2022,Communications and Technology,General Fund,Information Technology,Contractual Services,Membership Dues & Subscription,125,1618
2022,General Services,General Fund,Director's Office General Services,Contractual Services,Traveling Expense,125,875
2022,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Food,125.35,100
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Contractual Services,Mileage,126.17,2000
2022,Police,General Fund,Anti-Crime Division,"Materials, Supplies, and Repairs","Gasoline, Fuel & Lubricants",126.65,1000
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Contractual Services,Rent Of Equipment,127.88,0
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Repairs-Water Distrib System,128.31,21700
2022,Norfolk Community Services Board,Community Services Board,Mental Health Services Admin,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,129.9,0
2022,Police,General Fund,First Patrol,"Materials, Supplies, and Repairs",Repairs-Office Equipment,130,530
2022,Emergency Preparedness and Response,EOC-911,Services-Civil Emergency,Contractual Services,Mileage,132.21,739
2022,Norfolk Community Services Board,Community Services Board,SA Case Management,Public Assistance,Client Exp-Transportation,133.88,9230
2022,Development,General Fund,Development Division,Personnel Services,Semi-Monthly/Monthly Overtime,134.62,0
2022,Human Services,General Fund,Ysb - Secure Detention,"Materials, Supplies, and Repairs",Small Tools,134.79,1000
2022,Norfolk Community Services Board,Community Services Board,Healthcare Informatics,Contractual Services,Membership Dues & Subscription,135,0
2022,Norfolk Community Services Board,Community Services Board,Intake,Personnel Services,Semi-Monthly/Monthly Overtime,135.88,0
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,136.72,53196
2022,Water,Water Utility Fund,Division Of Engineering,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,137.51,1550
2022,Libraries,General Fund,Programming Services,Personnel Services,Semi-Monthly/Monthly Overtime,138.1,0
2022,General Services,General Fund,Director's Office General Services,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,139.3,400
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,Contractual Services,Employee Training Expense,140,2868
2022,Public Works,General Fund,Bureau Of Design,Personnel Services,Semi-Monthly/Monthly Overtime,142.59,13000
2022,Finance Department,General Fund,Purchasing Agent,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,144.79,3200
2022,Water,Water Utility Fund,Division Of Account.& Budget,"Materials, Supplies, and Repairs",Repairs-Office Equipment,145,340
2022,Norfolk Community Services Board,Community Services Board,Mental Health Court,Personnel Services,Employee Parking Supplement,148,502
2022,Finance Department,General Fund,Finance Director Office,Personnel Services,Semi-Monthly/Monthly Overtime,149.54,0
2022,Communications and Technology,General Fund,Radio and Electronics,"Materials, Supplies, and Repairs",Computer Software-Under $1000,149.99,1000
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,"Materials, Supplies, and Repairs",Food,150,2000
2022,Police,General Fund,Criminal Intelligence,Contractual Services,Membership Dues & Subscription,150,1355
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Equipment,Equip-Office & Household,154.28,855
2022,Water,Water Utility Fund,Division of Water Distribution,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,155,1500
2022,Public Works,General Fund,Directors Office Public Works,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,155.25,0
2022,Norfolk Community Services Board,Community Services Board,Executive Director's Office,"Materials, Supplies, and Repairs",Food,155.46,529
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,"Materials, Supplies, and Repairs",Supplies-Program,161.19,0
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Nonmonetary Awardsrd Pap,165,500
2022,Cemeteries,Cemetary Fund,Cemetery,Equipment,Equip-Office & Household,165.3,674
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Public Assistance,Client Exp-Food,167.23,125
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,168,6200
2022,Norfolk Community Services Board,Community Services Board,Intellectual Disabilities Service Admin,Personnel Services,Semi-Monthly/Monthly Overtime,170.54,0
2022,Norfolk Community Services Board,Community Services Board,Jail Diversion Planning,Contractual Services,Mileage,171.44,0
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Contractual Services,Traveling Expense,174.73,4000
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Computer Software-Under $1000,175,500
2022,Libraries,General Fund,Branch Operations,Contractual Services,Parking Validations,178.5,400
2022,Zoological Park,General Fund,Operations,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,179.29,1000
2022,Transportation,General Fund,Right of Way,Contractual Services,Other Contractual Services,179.8,180
2022,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,182.2,5942
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Contractual Services,Promotional Activities,184,500
2022,Norfolk Community Services Board,Community Services Board,Child and Adolesent SVCS ADMIN,Contractual Services,Membership Dues & Subscription,185,0
2022,Water,Water Utility Fund,Utility Director Office,Contractual Services,Telephone,185.39,2500
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,Contractual Services,Other Contractual Services,191,4002
2022,Water,Water Utility Fund,Division Of Water Quality,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,191.82,100
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Personnel Services,Semi-Monthly/Monthly Overtime,192.69,0
2022,Norfolk Community Services Board,Community Services Board,Community Integration,Contractual Services,Traveling Expense,195.82,0
2022,Police,General Fund,Third Patrol,"Materials, Supplies, and Repairs",Food,197.24,1500
2022,Police,Gen Fixed Assets Group Of Acct,SPECIAL POLICE GRANT,Contractual Services,Depr-System Account,198.04,0
2022,Norfolk Community Services Board,Community Services Board,Homeless Initiatives,Contractual Services,Employee Training Expense,199,1500
2022,Norfolk Community Services Board,Community Services Board,Forensic Services Admin,Contractual Services,Traveling Expense,199.37,0
2022,Parking Facilities Fund,Parking Facilities,Operations,Contractual Services,Cash Over/Short,200,0
2022,Public Works,General Fund,Bureau Of Design,Contractual Services,Advertising,200.33,15250
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,"Materials, Supplies, and Repairs",Supplies-Office,202.09,69
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,204.66,1651
2022,Norfolk Community Services Board,Community Services Board,Mental Health Court,Personnel Services,Semi-Monthly/Monthly Overtime,208.35,0
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Contractual Services,Advertising,209.02,10000
2022,Human Services,General Fund,Social Services,"Materials, Supplies, and Repairs",Repairs-Office Equipment,210,4831
2022,Norfolk Community Services Board,Community Services Board,Prevention Services,Contractual Services,Traveling Expense,210.5,0
2022,Norfolk Community Services Board,Community Services Board,Homeless Initiatives,Public Assistance,Client Exp-Personal Items,210.98,450
2022,Water,Water Utility Fund,Utility Director Office,Contractual Services,Mileage,212.28,600
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,"Materials, Supplies, and Repairs",Supplies-Maintenance,213.7,0
2022,Norfolk Community Services Board,Community Services Board,Homeless Center 1050 Tidewater Dr,Public Assistance,Client Exp-Personal Items,216,0
2022,City Manager,General Fund,City Manager,Contractual Services,Parking Validations,225,1000
2022,Libraries,General Fund,Administrative Support,"Materials, Supplies, and Repairs",Repairs-Buildings,225,500
2022,Public Works,General Fund,Right of Way,"Materials, Supplies, and Repairs",Signs,225,500
2022,Transportation,General Fund,Transportation,Contractual Services,Membership Dues & Subscription,225,800
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",EZ Pass,225.62,0
2022,Police,General Fund,Community Affairs,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,226.99,50
2022,City Attorney,General Fund,City Attorney,"Materials, Supplies, and Repairs",Food,228.36,500
2022,Libraries,General Fund,Director¿s Office,Personnel Services,Semi-Monthly/Monthly Overtime,228.64,0
2022,Fire-Rescue,General Fund,Training,Contractual Services,Membership Dues & Subscription,230.95,300
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Contractual Services,Traveling Expense,232.43,50
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Repairs-Buildings,237.73,5000
2022,Communications and Technology,General Fund,Information Technology,Contractual Services,Mileage,239.64,1000
2022,The Department of Parks & Recreation (P&R),General Fund,Park Planning and Development,"Materials, Supplies, and Repairs",Supplies-Office,239.88,2000
2022,Water,Water Utility Fund,Division Of Account.& Budget,Contractual Services,Mileage,240.28,100
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,"Materials, Supplies, and Repairs",Supplies-Maintenance,242.92,0
2022,Communications and Technology,General Fund,Radio and Electronics,Contractual Services,Membership Dues & Subscription,243,200
2022,Neighborhood Development,General Fund,IMPACT Norfolk,"Materials, Supplies, and Repairs",Supplies-Office,245.91,3000
2022,Neighborhood Development,General Fund,IMPACT Norfolk,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,249.35,1500
2022,Police,General Fund,Third Patrol,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,249.85,4000
2022,Norfolk Community Services Board,Community Services Board,Shelter Plus Care Grant,Personnel Services,Group Life Insurance Perm,249.99,18
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Repairs-Office Equipment,250,2000
2022,Departmental Support,General Fund,Risk Management,Contractual Services,Ins-Property Losses,250,23000
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Promotional Activities,251,8910
2022,Public Works,General Fund,Surveys,Equipment,Equip-Office & Household,251.77,500
2022,The National Maritime Center,Maritime Center,Visitors Services,Personnel Services,Semi-Monthly/Monthly Overtime,252.1,1000
2022,Police,General Fund,Detective,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,254.65,700
2022,Public Works,General Fund,Bureau Of Design,Contractual Services,Employee Training Expense,255,3770
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,Contractual Services,Parking Validations,255.5,10700
2022,Norfolk Community Services Board,Community Services Board,Community Integration,Public Assistance,Client Exp-Transportation,256.19,3173
2022,City Real Estate Assessor,General Fund,City Real Estate Assessor,Personnel Services,Semi-Monthly/Monthly Overtime,258.63,0
2022,Norfolk Community Services Board,Community Services Board,Homeless Project - Path,Public Assistance,Client Exp-Personal Items,261.92,52
2022,Emergency Preparedness and Response,EOC-911,Services-Civil Emergency,"Materials, Supplies, and Repairs",Food,265.87,155
2022,Neighborhood Development,General Fund,Director's Office,Personnel Services,Semi-Monthly/Monthly Overtime,266.48,0
2022,The National Maritime Center,Maritime Center,Visitors Services,Contractual Services,Mileage,267.08,1500
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Contractual Services,Promotional Activities,268.29,3150
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Personnel Services,Semi-Monthly/Monthly Overtime,275,600
2022,General Services,General Fund,Director's Office General Services,Contractual Services,Membership Dues & Subscription,275,600
2022,Norfolk Community Services Board,Community Services Board,Board Operations,Contractual Services,Employee Training Expense,275,0
2022,Norfolk Community Services Board,Community Services Board,Intellectual Disabilities Service Admin,Contractual Services,Employee Training Expense,275,0
2022,Water,Water Utility Fund,Divison Of Water Accounts,Contractual Services,"Rent Of Boxes, P O & Safe Dep",276,866
2022,Transportation,General Fund,Directors Office,Contractual Services,Parking Validations,277.5,0
2022,Fire-Rescue,General Fund,Corporate Communications,"Materials, Supplies, and Repairs",Computer Software-Under $1000,278.69,1000
2022,Fire-Rescue,General Fund,Operations,"Materials, Supplies, and Repairs",Food,279.29,1000
2022,Fire-Rescue,General Fund,Administration,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,282.49,191
2022,Human Services,General Fund,Local Only Programs,Personnel Services,Retirement Expense (Vsrs Emp),282.66,0
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,282.95,1757
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",Repairs-Building Equipment,283.74,3500
2022,Norfolk Community Services Board,Community Services Board,Intellectual Disabilities Service Admin,Contractual Services,Rent Of Equipment,289,0
2022,Fire-Rescue,General Fund,Prevention,"Materials, Supplies, and Repairs",Supplies-Police,292.12,500
2022,Cemeteries,Gen Fixed Assets Group Of Acct,Cemetery,Contractual Services,Gain/Loss-Disp Of Assets-Systm,293.57,0
2022,Public Works,General Fund,Directors Office Public Works,Personnel Services,Semi-Monthly/Monthly Overtime,294.29,600
2022,Norfolk Community Services Board,Community Services Board,Mental Health Court,Contractual Services,Mileage,296.44,2390
2022,General Services,General Fund,Director's Office General Services,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,299.73,3862
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Computer Software-Under $1000,300,500
2022,Norfolk Community Services Board,Community Services Board,Youth Outpatient,Contractual Services,Other Contractual Services,300.86,6365
2022,Libraries,General Fund,Libaries,Personnel Services,Retirement Expense (Vsrs Emp),301.46,0
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,Equipment,Equip-Signal & Radio,303.3,3200
2022,Zoological Park,General Fund,Operations,Equipment,Equip-Bldg-Mech & Portable,303.49,2500
2022,Planning and Community Development,General Fund,Division of City Planning,Personnel Services,Semi-Monthly/Monthly Overtime,304.65,0
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Signs,307,2000
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Contractual Services,Traveling Expense,308.97,300
2022,Norfolk Community Services Board,Community Services Board,Homeless Project - Path,Contractual Services,Traveling Expense,309.88,0
2022,Communications and Technology,Gen Fixed Assets Group Of Acct,It Administration,Contractual Services,Depr-System Account,312.7,0
2022,Communications and Technology,General Fund,Information Technology,Personnel Services,Semi-Monthly/Monthly Overtime,313.84,4184
2022,Fire-Rescue,General Fund,Corporate Communications,Contractual Services,Employee Training Expense,314,2000
2022,Planning and Community Development,General Fund,Division of City Planning,"Materials, Supplies, and Repairs",Supplies-Office,314.11,1530
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,314.46,570
2022,Police,General Fund,Chief Of Police,Contractual Services,Floral Arrangements,314.8,487
2022,Norfolk Community Services Board,Community Services Board,Homeless Project - Path,Personnel Services,Semi-Monthly/Monthly Overtime,322.64,0
2022,Communications and Technology,General Fund,Radio and Electronics,Contractual Services,Water & Sewage Disposal,324.31,400
2022,Norfolk Community Services Board,Community Services Board,Homeless Project - Path,Public Assistance,Client Exp-Transportation,324.98,1518
2022,Norfolk Community Services Board,Community Services Board,Mobile Crisis Services,Public Assistance,Client Exp-Transportation,326,0
2022,Sheriff,General Fund,Sheriff And Jail,"Materials, Supplies, and Repairs",Repairs-Office Equipment,327,5000
2022,Finance Department,General Fund,Retirement,"Materials, Supplies, and Repairs",Food,327.25,1500
2022,The Department of Parks & Recreation (P&R),General Fund,Special Services,"Materials, Supplies, and Repairs",Supplies-Office,329.95,1024
2022,Fire-Rescue,General Fund,Administration,Contractual Services,Traveling Expense,330.43,1000
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Electrical & Mech,330.5,500
